PRJNA Project	SRR Sample ID	Year Collected	Place/Region
PRJNA417903	SRR6384787	2008	China
PRJNA354675	SRR6669156	2008	China
PRJNA354675	SRR6669164	2008	China
PRJNA354675	SRR6669165	2008	China
PRJNA354675	SRR6669200	2008	China
PRJNA354675	SRR6669208	2008	China
PRJNA354675	SRR6669214	2008	China
PRJNA376429	SRR16280147	2008	Philippines
PRJNA417903	SRR6384802	2009	Laos
PRJNA417903	SRR6384803	2009	Laos
PRJNA354675	SRR6669160	2009	China
PRJNA354675	SRR6669162	2009	China
PRJNA354675	SRR6669166	2009	China
PRJNA354675	SRR6669205	2009	China
PRJNA354675	SRR6669206	2009	China
PRJNA354675	SRR6669159	2010	China
PRJNA354675	SRR6669161	2010	China
PRJNA354675	SRR6669163	2010	China
PRJNA354675	SRR6669169	2010	China
PRJNA354675	SRR6669172	2010	China
PRJNA973860	SRR24675060	2010	India
PRJNA670311	SRR12887179	2010	Ghana
PRJNA670311	SRR12887184	2010	Ghana
PRJNA304094	SRR3056583	2011	India
PRJNA304094	SRR3056613	2011	India
PRJNA748547	SRR18092170	2011	China
PRJNA748547	SRR18092171	2011	China
PRJNA748547	SRR18092174	2011	China
PRJNA748547	SRR18092178	2011	China
PRJNA748547	SRR18092179	2011	China
PRJNA748547	SRR18092181	2011	China
PRJNA748547	SRR18092188	2011	China
PRJNA748547	SRR18092189	2011	China
PRJNA748547	SRR18092196	2011	China
PRJNA748547	SRR18092197	2011	China
PRJNA748547	SRR18092198	2011	China
PRJNA748547	SRR18092212	2011	China
PRJNA748547	SRR18092214	2011	China
PRJNA748547	SRR18092219	2011	China
PRJNA748547	SRR18092221	2011	China
PRJNA748547	SRR18092239	2011	China
PRJNA748547	SRR18092240	2011	China
PRJNA748547	SRR18092241	2011	China
PRJNA748547	SRR18092242	2011	China
PRJNA748547	SRR18092243	2011	China
PRJNA748547	SRR18092250	2011	China
PRJNA748547	SRR18092258	2011	China
PRJNA748547	SRR18092259	2011	China
PRJNA748547	SRR18092278	2011	China
PRJNA748547	SRR18092279	2011	China
PRJNA748547	SRR18092280	2011	China
PRJNA748547	SRR18092281	2011	China
PRJNA748547	SRR18092282	2011	China
PRJNA748547	SRR18092283	2011	China
PRJNA748547	SRR18092284	2011	China
PRJNA748547	SRR18092265	2011	China
PRJNA748547	SRR18092266	2011	China
PRJNA354675	SRR6669145	2011	China
PRJNA354675	SRR6669147	2011	China
PRJNA354675	SRR6669148	2011	China
PRJNA354675	SRR6669149	2011	China
PRJNA354675	SRR6669150	2011	China
PRJNA354675	SRR6669158	2011	China
PRJNA354675	SRR6669191	2011	China
PRJNA354675	SRR6669196	2011	China
PRJNA354675	SRR6669213	2011	China
PRJNA354675	SRR6669217	2011	China
PRJNA354675	SRR6669139	2012	China
PRJNA354675	SRR6669140	2012	China
PRJNA354675	SRR6669141	2012	China
PRJNA354675	SRR6669142	2012	China
PRJNA354675	SRR6669143	2012	China
PRJNA354675	SRR6669144	2012	China
PRJNA354675	SRR6669167	2012	China
PRJNA354675	SRR6669168	2012	China
PRJNA354675	SRR6669207	2012	China
PRJNA354675	SRR6669210	2012	China
PRJNA354675	SRR6669218	2012	China
PRJNA670311	SRR12887172	2012	Nigeria
PRJNA670311	SRR12887181	2012	Nigeria
PRJNA670311	SRR12887185	2012	Benin
PRJNA670311	SRR12887191	2012	Rwanda
PRJNA670311	SRR12887192	2012	Benin
PRJNA670311	SRR12887203	2012	Benin
PRJNA670311	SRR12887206	2012	Rwanda
PRJNA670311	SRR12887207	2012	Rwanda
PRJNA670311	SRR12887209	2012	Uganda
PRJNA670311	SRR12887210	2012	Uganda
PRJNA670311	SRR12887211	2012	Tanzania
PRJDB14584	DRR413354	2012	Philippines
PRJNA748547	SRR18092173	2013	China
