Sample,PRJNA Project,Year_Collected,Place/Region,ACE1,AVR-Pi9,AVR-Pia,AVR-Pib,AVR-Pii,AVR-Piks,AVR-Pita1,AVR-Pizt
SRR6669202,PRJNA354675,1995,China,1,1,0,1,0,1,1,1
SRR12887174,PRJNA670311,1995,Philippines,0,0,0,0,0,1,1,0
SRR12887187,PRJNA670311,1995,Philippines,1,0,0,0,0,0,0,1
SRR12887196,PRJNA670311,1995,Philippines,1,1,0,1,1,1,1,0
444TM,-,1995,USA - AR,1,1,0,1,0,1,1,1
445TM,-,1995,USA - AR,1,1,0,1,0,0,1,1
446TM,-,1995,USA - AR,1,1,0,1,0,0,1,1
448TM,-,1995,USA - AR,1,1,0,1,0,0,1,0
449TM,-,1995,USA - AR,1,1,0,1,0,0,1,0
450TM,-,1995,USA - AR,0,1,0,1,0,0,1,0
451TM,-,1995,USA - AR,1,1,0,1,0,0,1,1
452TM,-,1995,USA - AR,1,1,0,1,0,0,1,1
466TM,-,1995,USA - MS,1,1,0,1,0,0,1,1
16_17_26,-,1995,USA - TX,1,0,0,1,0,0,1,1
453TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
454TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
455TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
456TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
458TM,-,1995,USA - TX,0,1,0,1,0,0,1,0
459TM,-,1995,USA - TX,0,1,0,1,0,0,0,0
460TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
462TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
463TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
464TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
465TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
467TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
468TM,-,1995,USA - TX,0,0,0,1,0,0,0,0
469TM,-,1995,USA - TX,1,1,0,1,0,1,1,1
470TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
471TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
473TM,-,1995,USA - TX,0,1,0,1,0,0,1,1
475TM,-,1995,USA - TX,1,1,0,1,0,0,1,0
476TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
477TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
478TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
479TM,-,1995,USA - TX,0,1,0,1,0,0,1,1
480TM,-,1995,USA - TX,1,0,0,1,0,0,1,1
481TM,-,1995,USA - TX,1,0,0,1,0,0,1,1
482TM,-,1995,USA - TX,1,0,0,1,0,0,1,1
483TM,-,1995,USA - TX,1,1,0,1,0,0,1,0
484TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
485TM,-,1995,USA - TX,1,1,0,1,0,0,1,0
486TM,-,1995,USA - TX,1,1,0,1,0,1,1,1
488TM,-,1995,USA - TX,1,1,0,1,0,1,1,1
489TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
490TM,-,1995,USA - TX,1,1,0,1,0,1,1,0
491TM,-,1995,USA - TX,1,1,0,0,0,1,1,1
492TM,-,1995,USA - TX,1,1,0,1,0,0,0,0
494TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
496TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
498TM,-,1995,USA - TX,1,1,0,1,0,0,1,1
565TM,-,1995,USA - TX,1,1,0,1,0,0,1,0
599TM,-,1995,USA - TX,1,1,0,1,0,0,0,1
b10,-,1995,USA - TX,1,1,0,1,0,1,1,1
b15,-,1995,USA - TX,1,1,0,1,0,0,1,1
b9,-,1995,USA - TX,1,1,0,1,0,0,1,1
SRR18092192,PRJNA748547,1996,China,1,1,1,0,0,1,1,1
SRR18092199,PRJNA748547,1996,China,1,1,1,1,0,1,1,1
SRR18092217,PRJNA748547,1996,China,1,1,0,0,0,0,1,1
SRR18092218,PRJNA748547,1996,China,1,1,0,1,0,1,1,1
16_17_24,-,1996,USA - AR,1,1,0,0,0,0,0,1
16_17_27,-,1996,USA - AR,1,0,0,1,0,0,1,1
2_4F,-,1996,USA - AR,1,1,0,1,0,0,0,1
2_4G,-,1996,USA - AR,1,1,0,1,0,0,1,1
2_4H,-,1996,USA - AR,1,1,0,1,0,0,0,1
2_5A,-,1996,USA - AR,1,1,0,1,0,0,1,1
2_5B,-,1996,USA - AR,1,1,0,1,0,1,1,1
2_5C,-,1996,USA - AR,1,1,0,1,0,0,0,1
2_5D,-,1996,USA - AR,1,1,0,1,0,0,0,1
2_5E,-,1996,USA - AR,1,1,0,1,0,0,1,1
2_5F,-,1996,USA - AR,1,1,0,1,0,0,1,1
2_5G,-,1996,USA - AR,1,1,0,1,0,0,1,1
16_17_22,-,1996,USA - LA,1,1,0,1,0,1,1,1
501TM,-,1996,USA - LA,1,1,0,1,0,0,1,0
502TM,-,1996,USA - LA,1,1,0,1,0,0,1,0
503TM,-,1996,USA - LA,1,1,0,1,0,0,1,1
504TM,-,1996,USA - LA,1,1,0,1,0,1,1,0
505TM,-,1996,USA - LA,1,1,0,1,0,0,1,1
506TM,-,1996,USA - LA,1,1,0,1,0,0,1,1
b14,-,1996,USA - LA,1,1,0,1,0,0,1,1
b16,-,1996,USA - LA,1,1,0,1,0,0,1,1
507TM,-,1996,USA - MS,1,1,0,1,0,1,1,1
508TM,-,1996,USA - MS,1,1,0,1,0,0,1,1
509TM,-,1996,USA - MS,1,1,0,1,0,1,1,1
510TM,-,1996,USA - MS,1,1,0,1,0,1,0,0
511TM,-,1996,USA - MS,1,1,0,0,0,1,1,1
512TM,-,1996,USA - MS,1,1,0,1,0,1,1,1
513TM,-,1996,USA - MS,1,1,0,1,0,1,1,1
514TM,-,1996,USA - MS,1,1,0,1,0,0,1,0
474TM,-,1996,USA - TX,1,1,0,1,0,0,1,1
515TM,-,1996,USA - TX,1,1,0,1,0,0,1,1
516TM,-,1996,USA - TX,1,1,0,1,0,0,1,1
517TM,-,1996,USA - TX,1,1,0,1,0,0,1,1
519TM,-,1996,USA - TX,0,1,0,1,0,0,0,1
520TM,-,1996,USA - TX,1,1,0,1,0,0,1,1
569TM,-,1996,USA - TX,1,1,0,1,0,1,0,1
b11,-,1996,USA - TX,1,1,0,1,0,0,1,1
SRR18092175,PRJNA748547,1997,China,1,1,0,1,0,0,1,1
SRR18092190,PRJNA748547,1997,China,1,1,0,1,0,1,1,1
SRR18092222,PRJNA748547,1997,China,1,1,0,0,0,1,0,1
SRR18092224,PRJNA748547,1997,China,1,1,0,0,0,1,1,1
SRR18092225,PRJNA748547,1997,China,1,1,0,0,0,1,0,1
SRR18092227,PRJNA748547,1997,China,1,1,0,1,0,1,1,1
SRR18092228,PRJNA748547,1997,China,1,1,0,1,0,1,1,1
SRR18092229,PRJNA748547,1997,China,1,1,0,1,0,1,1,1
SRR18092230,PRJNA748547,1997,China,1,1,1,1,0,1,1,1
SRR18092267,PRJNA748547,1997,China,1,1,0,1,0,1,1,1
SRR6384800,PRJNA417903,1997,Morocco,1,1,0,1,0,1,1,1
521TM,-,1997,USA - AR,1,1,0,1,0,0,0,1
566TM,-,1997,USA - AR,1,1,0,1,0,0,0,0
597TM,-,1997,USA - AR,1,1,0,1,0,1,0,1
2000_20,-,1997,USA - TX,1,1,0,1,0,1,1,1
606TM,-,1997,USA - TX,1,1,0,1,0,1,1,1
SRR6384790,PRJNA417903,1998,China,1,1,0,1,0,1,0,1
SRR6384797,PRJNA417903,1998,China,1,1,1,1,0,1,1,1
SRR6669203,PRJNA354675,1998,China,0,1,0,1,1,1,0,1
567TM,-,1998,USA - AR,1,1,0,1,0,1,1,1
607TM,-,1998,USA - AR,1,1,0,1,0,0,1,1
SRR6669204,PRJNA354675,1999,China,1,1,0,1,0,1,1,1
SRR6669211,PRJNA354675,2000,China,1,1,0,0,0,1,1,1
SRR6669221,PRJNA354675,2000,China,1,1,0,1,0,1,1,1
SRR6669222,PRJNA354675,2000,China,1,1,0,1,0,1,0,1
2000_14,-,2000,USA - AR,1,1,0,1,0,0,0,1
SRR6384780,PRJNA417903,2001,China,1,1,0,1,0,1,1,1
SRR6384781,PRJNA417903,2001,China,1,0,0,1,0,1,1,1
SRR6384782,PRJNA417903,2001,China,1,1,0,1,0,1,0,1
SRR6669219,PRJNA354675,2001,China,1,1,0,1,0,1,1,1
SRR6669195,PRJNA354675,2002,China,1,1,0,0,0,1,1,1
2_7B,-,2002,USA - AR,1,1,0,1,0,0,1,1
2_7C,-,2002,USA - AR,1,0,0,1,0,0,0,1
2000_23,-,2002,USA - AR,1,1,0,1,0,1,1,1
2000_24,-,2002,USA - AR,1,1,0,1,0,0,1,1
2000_4,-,2002,USA - AR,1,1,0,1,0,0,1,1
2000_5,-,2002,USA - AR,1,1,0,1,0,1,1,1
2000_6,-,2002,USA - AR,1,1,0,1,0,0,1,1
2000_7,-,2002,USA - AR,1,1,0,1,0,1,1,1
SRR6669220,PRJNA354675,2003,China,1,1,0,1,0,1,1,1
2_4C,-,2003,USA - TX,1,1,0,1,0,0,0,1
2_4A,-,2004,USA - AR,1,1,0,0,0,0,0,1
2_4B,-,2004,USA - AR,1,1,0,1,0,0,0,1
2000_15,-,2004,USA - AR,1,1,0,1,0,0,0,0
2000_16,-,2004,USA - AR,0,1,0,0,0,0,0,1
2000_17,-,2004,USA - AR,1,1,0,1,0,0,0,1
SRR6669137,PRJNA354675,2005,China,1,1,0,1,0,1,1,1
SRR6669138,PRJNA354675,2005,China,1,1,0,1,0,1,1,1
SRR6669146,PRJNA354675,2005,China,1,1,0,1,0,1,1,1
SRR6669170,PRJNA354675,2005,China,1,1,0,1,0,1,1,1
SRR6669198,PRJNA354675,2005,China,1,1,0,1,0,1,0,1
SRR6669223,PRJNA354675,2005,China,1,1,0,1,0,1,1,1
SRR6384801,PRJNA417903,2005,Madagascar,1,1,0,1,0,1,0,0
1_11G,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_10H,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_1A,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_1C,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_1E,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_1F,-,2005,USA - AR,1,1,0,1,0,0,1,1
2_1G,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_2A,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_3A,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_3C,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_3D,-,2005,USA - AR,1,1,0,1,0,0,0,1
2_3F,-,2005,USA - AR,1,1,0,1,0,0,0,1
SRR14119017,PRJNA324432,2006,Brazil,1,1,0,1,1,0,0,1
SRR14119028,PRJNA324432,2006,Brazil,1,1,0,1,1,0,0,1
SRR6384779,PRJNA417903,2006,China,0,1,0,1,0,1,1,1
SRR6669199,PRJNA354675,2006,China,1,1,0,0,0,1,1,1
SRR6669224,PRJNA354675,2006,China,1,1,0,1,0,1,1,1
SRR7503877,PRJNA438312,2006,Thailand,0,1,0,1,0,1,1,0
2000_10,-,2006,USA - AR,1,1,0,1,0,0,1,1
2000_11,-,2006,USA - AR,1,1,0,1,0,0,1,1
2000_8,-,2006,USA - AR,1,1,0,1,0,0,1,1
2000_9,-,2006,USA - AR,1,1,0,1,0,0,1,1
b29,-,2006,USA - AR,0,0,0,0,0,0,0,0
b30,-,2006,USA - AR,1,1,0,1,0,0,1,1
b31,-,2006,USA - AR,1,1,0,1,0,0,1,1
b32,-,2006,USA - AR,1,1,0,1,0,0,1,1
E11,-,2006,USA - AR,1,1,0,1,0,0,1,1
E9,-,2006,USA - AR,1,1,0,1,0,0,1,1
SRR14119029,PRJNA324432,2007,Brazil,0,1,0,0,0,1,0,1
SRR18092169,PRJNA748547,2007,China,1,1,0,1,0,1,1,1
SRR18092177,PRJNA748547,2007,China,1,0,0,1,0,1,1,1
SRR18092187,PRJNA748547,2007,China,1,1,0,1,1,1,1,1
SRR18092191,PRJNA748547,2007,China,1,1,0,0,0,1,1,1
SRR18092231,PRJNA748547,2007,China,1,1,0,1,0,1,1,1
SRR18092232,PRJNA748547,2007,China,1,1,0,1,0,1,1,1
SRR18092233,PRJNA748547,2007,China,1,1,0,1,1,1,1,1
SRR18092235,PRJNA748547,2007,China,1,1,0,0,0,1,1,1
SRR18092236,PRJNA748547,2007,China,1,1,0,1,0,1,1,1
SRR18092253,PRJNA748547,2007,China,1,1,0,0,0,1,0,1
SRR18092270,PRJNA748547,2007,China,1,0,0,1,0,1,1,1
SRR18092271,PRJNA748547,2007,China,1,1,0,1,0,1,0,1
SRR18092277,PRJNA748547,2007,China,1,1,0,0,0,1,1,1
SRR6669152,PRJNA354675,2007,China,1,1,0,1,0,1,1,1
SRR6669153,PRJNA354675,2007,China,1,1,1,1,0,1,1,1
SRR6669154,PRJNA354675,2007,China,1,1,0,1,0,1,1,1
SRR6669155,PRJNA354675,2007,China,1,1,1,1,0,1,1,1
SRR6669197,PRJNA354675,2007,China,1,1,0,1,0,1,1,1
2000_1,-,2007,USA - AR,1,1,0,1,0,0,1,1
2000_12,-,2007,USA - AR,1,1,0,1,0,0,1,1
2000_13,-,2007,USA - AR,1,1,0,1,0,0,1,1
2000_2,-,2007,USA - AR,1,1,0,1,0,0,1,1
b18,-,2007,USA - AR,1,1,0,1,0,0,1,1
b33,-,2007,USA - AR,1,1,0,1,0,0,1,1
b34,-,2007,USA - AR,1,1,0,1,0,0,1,1
b35,-,2007,USA - AR,1,1,0,1,0,0,1,1
b36,-,2007,USA - AR,1,1,0,0,0,0,1,1
E12,-,2007,USA - AR,1,1,0,1,0,0,1,1
E2,-,2007,USA - AR,1,1,0,1,0,0,1,1
SRR18092172,PRJNA748547,2008,China,1,1,1,1,0,1,0,1
SRR18092183,PRJNA748547,2008,China,1,0,0,1,0,1,1,1
SRR18092185,PRJNA748547,2008,China,1,1,0,1,0,1,0,1
SRR18092186,PRJNA748547,2008,China,1,1,0,1,0,0,1,1
SRR18092193,PRJNA748547,2008,China,1,1,0,0,0,0,0,1
SRR18092205,PRJNA748547,2008,China,1,0,0,1,0,1,1,1
SRR18092206,PRJNA748547,2008,China,1,0,0,1,0,1,1,1
SRR18092207,PRJNA748547,2008,China,1,0,0,0,0,1,1,1
SRR18092208,PRJNA748547,2008,China,1,0,0,1,0,1,0,0
SRR18092209,PRJNA748547,2008,China,1,1,0,1,0,0,1,1
SRR18092215,PRJNA748547,2008,China,1,1,1,1,0,1,0,1
SRR18092216,PRJNA748547,2008,China,1,1,0,1,0,1,1,1
SRR18092220,PRJNA748547,2008,China,1,0,0,1,0,1,1,1
SRR18092226,PRJNA748547,2008,China,1,0,0,1,0,1,1,1
SRR18092237,PRJNA748547,2008,China,1,1,0,1,0,0,1,1
SRR18092238,PRJNA748547,2008,China,1,0,0,0,0,1,1,1
SRR18092255,PRJNA748547,2008,China,1,1,0,0,0,0,0,1
SRR18092272,PRJNA748547,2008,China,1,0,0,1,0,1,1,1
SRR18092273,PRJNA748547,2008,China,1,0,0,1,0,1,1,1
SRR18092275,PRJNA748547,2008,China,1,0,0,0,0,1,0,1
SRR18092276,PRJNA748547,2008,China,1,0,0,0,0,1,0,1
SRR6384777,PRJNA417903,2008,China,1,1,0,1,0,1,0,1
SRR6384778,PRJNA417903,2008,China,1,0,0,1,0,1,1,1
SRR6384787,PRJNA417903,2008,China,1,0,0,1,0,1,1,1
SRR6669156,PRJNA354675,2008,China,1,0,0,1,0,1,1,1
SRR6669164,PRJNA354675,2008,China,1,1,0,1,0,1,1,1
SRR6669165,PRJNA354675,2008,China,1,1,0,0,0,1,1,1
SRR6669200,PRJNA354675,2008,China,1,1,0,0,0,1,1,1
SRR6669208,PRJNA354675,2008,China,1,0,0,1,0,0,1,1
SRR6669214,PRJNA354675,2008,China,1,1,0,0,0,1,1,1
SRR16280147,PRJNA376429,2008,Philippines,0,1,0,1,0,1,0,1
2_9B,-,2008,USA - AR,0,0,1,0,0,0,1,0
2000_3,-,2008,USA - AR,1,1,0,1,0,0,1,1
b17,-,2008,USA - AR,1,1,0,1,0,0,1,1
b19,-,2008,USA - AR,1,1,0,0,0,0,1,1
b20,-,2008,USA - AR,1,1,0,0,0,0,1,1
b21,-,2008,USA - AR,1,1,0,0,0,0,1,1
b22,-,2008,USA - AR,1,1,0,0,0,0,1,1
b23,-,2008,USA - AR,1,1,0,0,0,0,1,1
b24,-,2008,USA - AR,1,1,0,1,0,0,1,1
b25,-,2008,USA - AR,0,0,1,0,0,0,1,0
b26,-,2008,USA - AR,1,1,0,1,0,0,1,1
b27,-,2008,USA - AR,1,1,0,1,0,0,1,1
b28,-,2008,USA - AR,0,1,1,0,0,0,1,0
SRR6669160,PRJNA354675,2009,China,1,1,0,0,0,1,1,1
SRR6669162,PRJNA354675,2009,China,1,1,0,1,1,1,0,1
SRR6669166,PRJNA354675,2009,China,1,1,0,1,0,1,1,1
SRR6669205,PRJNA354675,2009,China,1,1,0,0,0,1,1,1
SRR6669206,PRJNA354675,2009,China,1,1,0,1,0,1,1,1
SRR6384802,PRJNA417903,2009,Laos,1,0,1,1,0,1,1,1
SRR6384803,PRJNA417903,2009,Laos,1,1,0,1,0,1,1,1
1_11E,-,2009,USA - AR,1,1,0,1,0,0,0,1
1_11H,-,2009,USA - AR,1,1,0,1,0,0,0,1
2_5H,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_6A,-,2009,USA - AR,1,1,0,1,0,1,1,1
2_6B,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_6C,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_6D,-,2009,USA - AR,1,1,0,1,0,1,1,1
2_6E,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_8A,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_8B,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_8C,-,2009,USA - AR,1,1,0,1,0,1,1,1
2_9C,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_9D,-,2009,USA - AR,1,0,0,1,0,1,1,1
2_9E,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_9F,-,2009,USA - AR,1,1,0,1,0,1,1,1
2_9G,-,2009,USA - AR,1,1,0,1,0,0,1,1
2_9H,-,2009,USA - AR,1,1,0,1,0,1,1,1
1_8H,-,2009,USA - LA,1,1,0,1,0,0,1,1
2_1H,-,2009,USA - LA,1,1,0,1,0,0,1,1
SRR6669159,PRJNA354675,2010,China,1,1,0,1,0,1,1,1
SRR6669161,PRJNA354675,2010,China,1,1,0,0,1,1,0,1
SRR6669163,PRJNA354675,2010,China,1,1,0,1,0,1,0,1
SRR6669169,PRJNA354675,2010,China,1,1,0,1,0,1,1,1
SRR6669172,PRJNA354675,2010,China,1,1,0,1,0,1,1,1
SRR12887179,PRJNA670311,2010,Ghana,1,1,0,1,0,1,0,1
SRR12887184,PRJNA670311,2010,Ghana,1,1,0,0,0,1,0,1
SRR24675060,PRJNA973860,2010,India,1,1,1,1,1,1,1,1
SRR18092170,PRJNA748547,2011,China,1,0,0,1,0,1,1,1
SRR18092171,PRJNA748547,2011,China,1,1,0,1,0,0,1,1
SRR18092174,PRJNA748547,2011,China,1,0,0,1,0,1,1,1
SRR18092178,PRJNA748547,2011,China,1,1,1,1,0,1,1,1
SRR18092179,PRJNA748547,2011,China,1,0,0,0,0,1,0,0
SRR18092181,PRJNA748547,2011,China,1,0,0,1,0,1,1,1
SRR18092188,PRJNA748547,2011,China,1,1,1,1,0,1,1,1
SRR18092189,PRJNA748547,2011,China,1,1,0,1,0,1,1,1
SRR18092196,PRJNA748547,2011,China,1,1,1,1,0,1,1,1
SRR18092197,PRJNA748547,2011,China,1,1,0,1,0,1,0,1
SRR18092198,PRJNA748547,2011,China,1,1,0,0,0,1,0,1
SRR18092212,PRJNA748547,2011,China,1,1,0,1,0,1,1,1
SRR18092214,PRJNA748547,2011,China,1,0,1,1,0,1,0,1
SRR18092219,PRJNA748547,2011,China,1,1,0,1,0,1,0,1
SRR18092221,PRJNA748547,2011,China,1,0,0,0,0,1,1,1
SRR18092239,PRJNA748547,2011,China,1,1,0,1,0,1,0,1
SRR18092240,PRJNA748547,2011,China,1,1,0,1,0,1,0,1
SRR18092241,PRJNA748547,2011,China,1,1,0,1,0,1,0,1
SRR18092242,PRJNA748547,2011,China,1,1,0,0,0,1,0,1
SRR18092243,PRJNA748547,2011,China,1,1,0,1,0,1,0,1
SRR18092250,PRJNA748547,2011,China,1,0,0,0,0,1,0,1
SRR18092258,PRJNA748547,2011,China,1,1,0,1,0,1,1,1
SRR18092259,PRJNA748547,2011,China,1,0,0,0,0,1,0,0
SRR18092265,PRJNA748547,2011,China,1,1,0,0,0,1,0,1
SRR18092266,PRJNA748547,2011,China,1,1,0,1,0,0,1,1
SRR18092278,PRJNA748547,2011,China,1,1,0,0,0,0,0,1
SRR18092279,PRJNA748547,2011,China,1,1,0,1,0,0,1,1
SRR18092280,PRJNA748547,2011,China,1,1,0,1,0,1,1,1
SRR18092281,PRJNA748547,2011,China,1,0,0,1,0,1,1,1
SRR18092282,PRJNA748547,2011,China,1,0,0,1,0,1,1,1
SRR18092283,PRJNA748547,2011,China,1,0,0,1,0,1,1,1
SRR18092284,PRJNA748547,2011,China,1,0,0,1,0,1,1,1
SRR6669145,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669147,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669148,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669149,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669150,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669158,PRJNA354675,2011,China,1,1,0,1,1,1,1,1
SRR6669191,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669196,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669213,PRJNA354675,2011,China,1,1,0,1,0,1,1,1
SRR6669217,PRJNA354675,2011,China,1,1,0,1,0,1,0,1
SRR3056583,PRJNA304094,2011,India,1,1,1,1,0,0,1,1
SRR3056613,PRJNA304094,2011,India,1,1,0,1,1,1,0,1
SRR12887185,PRJNA670311,2012,Benin,1,1,0,1,0,1,1,1
SRR12887192,PRJNA670311,2012,Benin,1,1,0,0,0,1,0,1
SRR12887203,PRJNA670311,2012,Benin,1,1,0,1,0,1,0,1
SRR6669139,PRJNA354675,2012,China,1,1,0,0,0,1,1,1
SRR6669140,PRJNA354675,2012,China,1,1,0,1,0,1,1,1
SRR6669141,PRJNA354675,2012,China,1,1,0,1,0,0,1,1
SRR6669142,PRJNA354675,2012,China,1,1,0,1,0,1,1,1
SRR6669143,PRJNA354675,2012,China,1,1,0,1,0,1,1,1
SRR6669144,PRJNA354675,2012,China,1,1,0,1,0,1,1,1
SRR6669167,PRJNA354675,2012,China,1,1,0,1,0,1,1,1
SRR6669168,PRJNA354675,2012,China,1,1,0,1,0,1,1,1
SRR6669207,PRJNA354675,2012,China,1,1,1,1,0,1,0,1
SRR6669210,PRJNA354675,2012,China,1,1,1,1,0,1,1,1
SRR6669218,PRJNA354675,2012,China,1,1,0,1,0,1,0,1
SRR12887172,PRJNA670311,2012,Nigeria,1,1,0,1,0,0,1,1
SRR12887181,PRJNA670311,2012,Nigeria,1,1,0,1,0,1,0,1
DRR413354,PRJDB14584,2012,Philippines,1,1,0,0,1,1,0,0
SRR12887191,PRJNA670311,2012,Rwanda,1,1,0,1,0,1,0,1
SRR12887206,PRJNA670311,2012,Rwanda,1,1,0,1,0,1,1,1
SRR12887207,PRJNA670311,2012,Rwanda,1,1,1,1,0,1,1,1
SRR12887211,PRJNA670311,2012,Tanzania,1,1,0,1,0,1,1,1
1_10C,-,2012,USA - AR,1,1,0,1,0,1,1,1
1_10G,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_10H,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_11A,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_11B,-,2012,USA - AR,1,1,0,1,0,1,1,1
1_11C,-,2012,USA - AR,1,1,0,1,0,1,1,1
1_11F,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_12B,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_12C,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_12D,-,2012,USA - AR,1,1,0,1,0,1,1,1
1_12E,-,2012,USA - AR,1,1,0,1,0,1,1,1
1_12F,-,2012,USA - AR,1,1,0,1,0,1,1,1
1_1A,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_1B,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_1C,-,2012,USA - AR,1,0,0,1,0,0,1,1
1_1D,-,2012,USA - AR,1,1,0,1,0,1,1,1
1_1E,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_1F,-,2012,USA - AR,1,0,0,1,0,0,1,1
1_1G,-,2012,USA - AR,1,1,0,1,0,0,1,1
1_1H,-,2012,USA - AR,1,1,0,1,0,0,1,1
15_11_E,-,2012,USA - AR,1,1,0,1,0,1,1,1
2_11A,-,2012,USA - AR,1,1,0,1,0,1,1,1
2_11B,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_11C,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_12H,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_1B,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_1D,-,2012,USA - AR,1,1,0,1,0,1,1,1
2_2B,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_2D,-,2012,USA - AR,1,1,0,1,0,1,1,1
2_2E,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_2G,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_3B,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_8E,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_8F,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_8H,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_9A,-,2012,USA - AR,1,1,0,1,0,0,1,1
2_7G,-,2012,USA - LA,1,1,0,1,0,0,1,1
2_7H,-,2012,USA - LA,1,1,0,1,0,0,1,1
2_11F,-,2012,USA - TX,1,1,0,1,0,0,1,1
2_11G,-,2012,USA - TX,1,1,0,1,0,0,1,1
2_7D,-,2012,USA - TX,1,0,0,1,0,0,1,1
2_7E,-,2012,USA - TX,1,1,0,1,0,0,1,1
2_7F,-,2012,USA - TX,1,1,0,1,0,0,1,1
SRR12887209,PRJNA670311,2012,Uganda,1,1,0,1,0,1,1,1
SRR12887210,PRJNA670311,2012,Uganda,1,1,0,1,0,1,1,1
SRR12887188,PRJNA670311,2013,Argentina,1,0,0,0,0,0,0,1
SRR12887189,PRJNA670311,2013,Argentina,1,0,0,0,0,0,0,1
SRR14119011,PRJNA324432,2013,Brazil,1,1,0,0,0,0,1,1
SRR18092173,PRJNA748547,2013,China,1,1,0,1,0,0,1,1
SRR18092184,PRJNA748547,2013,China,1,1,0,1,0,0,1,1
SRR18092223,PRJNA748547,2013,China,1,1,0,0,0,0,0,1
SRR18092234,PRJNA748547,2013,China,1,1,0,0,0,1,1,1
SRR18092245,PRJNA748547,2013,China,1,1,0,1,0,1,1,1
SRR18092286,PRJNA748547,2013,China,1,1,0,0,0,1,0,1
SRR6669187,PRJNA354675,2013,China,1,1,0,1,0,1,1,1
SRR6669188,PRJNA354675,2013,China,1,0,1,1,0,1,1,1
SRR6669189,PRJNA354675,2013,China,1,0,0,1,0,1,1,1
SRR6669190,PRJNA354675,2013,China,1,0,1,1,0,1,1,1
SRR6669193,PRJNA354675,2013,China,1,1,0,1,0,1,1,1
SRR6669215,PRJNA354675,2013,China,1,1,0,1,0,1,0,1
