Sample,PRJNA Project,Year_Collected,Place/Region,ACE1,AVR-Pi9,AVR-Pia,AVR-Pib,AVR-Pii,AVR-Piks,AVR-Pita1,AVR-Pizt
SRR6384793,PRJNA417903,1989,Burundi,1,1,0,1,0,1,0,1
SRR6384786,PRJNA417903,1989,Colombia,0,1,0,1,0,0,0,1
70TM,-,1989,USA - TX,1,1,0,1,0,0,1,1
SRR6669192,PRJNA354675,1990,China,1,1,0,1,0,0,1,1
DRR445896,PRJDB15332,1990,Japan,1,1,0,1,0,1,1,1
71TM,-,1990,USA - AR,1,1,0,1,0,1,1,1
SRR6384789,PRJNA417903,1991,China,1,1,0,0,1,1,1,1
SRR6384771,PRJNA417903,1991,Portugal,1,1,0,1,0,1,1,1
126TM,-,1991,USA - AR,1,1,0,1,0,1,1,1
127TM,-,1991,USA - AR,1,1,0,1,0,1,1,1
139TM,-,1991,USA - AR,1,1,0,1,0,1,1,1
93TM,-,1991,USA - AR,1,1,0,1,0,0,1,1
95TM,-,1991,USA - AR,1,1,0,1,0,1,0,1
96TM,-,1991,USA - AR,1,1,0,1,0,1,1,1
97TM,-,1991,USA - LA,1,1,0,1,0,0,0,1
100TM,-,1991,USA - TX,0,0,0,1,0,1,1,0
101TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
121TM,-,1991,USA - TX,1,1,0,1,0,0,1,1
122TM,-,1991,USA - TX,0,0,0,1,0,0,0,0
128TM,-,1991,USA - TX,1,0,0,0,0,0,0,0
134TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
136TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
140TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
141TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
142TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
143TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
98TM,-,1991,USA - TX,1,1,0,1,0,1,1,1
99TM,-,1991,USA - TX,1,1,0,1,0,1,0,1
SRR6669181,PRJNA354675,1992,China,1,1,0,1,0,1,1,1
SRR6669182,PRJNA354675,1992,China,1,1,0,1,1,1,1,1
SRR6384806,PRJNA417903,1992,India,1,1,0,1,0,1,0,1
SRR6384807,PRJNA417903,1992,India,1,1,1,0,0,0,1,1
SRR12887208,PRJNA670311,1992,Philippines,1,1,0,1,1,1,0,1
1_11D,-,1992,USA - AR,1,1,0,1,0,0,1,1
105TM,-,1992,USA - AR,1,1,0,1,0,0,1,1
108TM,-,1992,USA - AR,1,1,0,1,0,1,1,1
110TM,-,1992,USA - AR,1,1,0,1,0,0,1,1
111TM,-,1992,USA - AR,1,1,0,1,0,1,0,1
125TM,-,1992,USA - AR,1,1,0,1,0,1,1,1
133TM,-,1992,USA - AR,1,1,0,1,0,0,1,1
149TM,-,1992,USA - AR,1,1,0,1,0,0,1,1
152TM,-,1992,USA - AR,1,1,0,1,0,1,1,1
153TM,-,1992,USA - AR,1,1,0,1,0,0,1,1
154TM,-,1992,USA - AR,1,1,0,1,0,1,1,1
155TM,-,1992,USA - AR,1,1,0,1,0,0,1,1
2_3G,-,1992,USA - AR,1,1,0,1,0,0,1,1
2_3H,-,1992,USA - AR,1,1,0,1,0,0,1,1
2_4E,-,1992,USA - AR,1,1,0,1,0,1,1,1
2000_18,-,1992,USA - AR,1,1,0,1,0,1,1,1
220TM,-,1992,USA - AR,1,1,0,1,0,1,1,1
106TM,-,1992,USA - LA,1,1,0,1,0,0,1,1
107TM,-,1992,USA - LA,0,0,0,1,0,0,1,0
109TM,-,1992,USA - LA,1,1,0,1,0,0,1,1
112TM,-,1992,USA - LA,1,0,0,1,0,1,0,0
114TM,-,1992,USA - LA,1,1,0,1,0,1,1,1
119TM,-,1992,USA - LA,1,1,0,1,0,0,1,1
120TM,-,1992,USA - LA,1,1,0,1,0,1,0,1
129TM,-,1992,USA - LA,1,1,0,1,0,0,1,1
131TM,-,1992,USA - LA,1,1,0,1,0,0,1,1
137TM,-,1992,USA - LA,1,1,0,1,0,1,1,1
144TM,-,1992,USA - LA,1,1,0,1,0,0,1,1
156TM,-,1992,USA - MS,1,1,0,1,0,1,1,1
157TM,-,1992,USA - MS,0,0,0,1,0,0,0,0
158TM,-,1992,USA - MS,1,1,0,1,0,0,1,1
159TM,-,1992,USA - MS,1,1,0,1,0,1,1,1
160TM,-,1992,USA - MS,1,0,0,1,0,0,1,0
161TM,-,1992,USA - MS,1,1,0,1,0,1,1,1
162TM,-,1992,USA - MS,1,1,0,1,0,1,1,1
163TM,-,1992,USA - MS,1,1,0,1,0,0,1,1
164TM,-,1992,USA - MS,1,1,0,1,0,1,1,1
167TM,-,1992,USA - MS,1,0,0,1,0,0,1,1
115TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
135TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
168TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
169TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
170TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
171TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
172TM,-,1992,USA - TX,0,1,0,1,0,0,1,0
173TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
174TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
179TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
180TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
181TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
183TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
184TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
185TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
186TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
187TM,-,1992,USA - TX,1,1,0,1,0,1,0,1
188TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
189TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
190TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
191TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
192TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
193TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
194TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
195TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
196TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
197TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
198TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
199TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
200TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
201TM,-,1992,USA - TX,0,1,0,1,0,0,1,0
203TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
204TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
205TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
206TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
207TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
208TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
209TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
210TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
211TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
212TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
213TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
214TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
215TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
216TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
217TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
218TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
219TM,-,1992,USA - TX,1,1,0,1,0,0,1,1
595TM,-,1992,USA - TX,1,1,0,1,0,1,1,1
618TM,-,1992,USA - TX,1,1,0,1,0,0,0,1
630TM,-,1992,USA - TX,1,1,0,1,0,1,1,0
SRR6384809,PRJNA417903,1993,Hungary,1,1,0,1,0,1,1,1
SRR6384804,PRJNA417903,1993,India,1,1,0,1,0,0,0,1
221TM,-,1993,USA - AR,1,1,0,1,0,1,1,0
222TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
223TM,-,1993,USA - AR,0,1,0,1,0,0,1,0
224TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
